iter	Passed	Remaining
0	3	298
1	6	294
2	10	340
3	12	304
4	14	284
5	18	292
6	21	284
7	24	281
8	26	267
9	28	256
10	30	246
11	33	247
12	35	239
13	38	234
14	40	230
15	44	236
16	47	230
17	49	225
18	51	220
19	53	215
20	55	210
21	58	205
22	60	202
23	63	200
24	66	199
25	70	199
26	72	194
27	74	190
28	76	187
29	80	188
30	83	184
31	86	183
32	88	180
33	93	180
34	95	177
35	97	173
36	99	170
37	102	166
38	104	162
39	106	159
40	108	156
41	109	150
42	111	148
43	114	146
44	116	142
45	118	139
46	121	136
47	123	133
48	125	130
49	128	128
50	130	125
51	133	123
52	136	120
53	140	119
54	142	116
55	145	114
56	152	114
57	156	113
58	160	111
59	162	108
60	164	105
61	168	103
62	172	101
63	175	98
64	177	95
65	181	93
66	184	90
67	186	87
68	188	84
69	190	81
70	192	78
71	196	76
72	200	73
73	202	71
74	203	67
75	205	65
76	207	62
77	212	59
78	215	57
79	217	54
80	219	51
81	220	48
82	222	45
83	225	42
84	229	40
85	231	37
86	232	34
87	234	31
88	236	29
89	238	26
90	242	23
91	244	21
92	246	18
93	248	15
94	250	13
95	252	10
96	256	7
97	259	5
98	262	2
99	263	0
