iter	Passed	Remaining
0	289	289576
1	291	145270
2	292	97085
3	295	73529
4	297	59297
5	299	49578
6	300	42598
7	301	37372
8	302	33310
9	303	30050
10	304	27385
11	305	25169
12	306	23302
13	310	21847
14	312	20488
15	313	19269
16	314	18190
17	315	17239
18	317	16370
19	318	15584
20	319	14875
21	320	14235
22	322	13708
23	325	13241
24	327	12761
25	328	12301
26	329	11873
27	330	11475
28	331	11103
29	332	10758
30	333	10438
31	337	10209
32	339	9960
33	341	9690
34	342	9450
35	344	9216
36	345	8990
37	346	8773
38	347	8566
39	349	8377
40	353	8261
41	354	8096
42	356	7924
43	357	7764
44	358	7609
45	359	7462
46	361	7321
47	362	7185
48	365	7095
49	369	7013
50	370	6894
51	371	6778
52	373	6667
53	374	6557
54	375	6451
55	376	6349
56	377	6249
57	379	6165
58	382	6094
59	383	6013
60	385	5927
61	386	5844
62	387	5763
63	388	5684
64	389	5607
65	391	5534
66	392	5461
67	394	5403
68	396	5356
69	398	5295
70	399	5230
71	400	5166
72	402	5105
73	403	5046
74	404	4988
75	405	4930
76	406	4875
77	408	4823
78	409	4776
79	412	4744
80	413	4696
81	415	4648
82	415	4593
83	416	4546
84	418	4501
85	419	4457
86	420	4413
87	421	4371
88	425	4353
89	427	4317
90	428	4278
91	429	4239
92	430	4200
93	431	4162
94	433	4125
95	434	4089
96	435	4053
97	436	4021
98	438	3991
99	440	3967
100	442	3934
101	443	3902
102	444	3870
103	445	3838
104	446	3807
105	447	3778
106	449	3748
107	450	3720
108	453	3707
109	455	3687
110	456	3659
111	457	3631
112	459	3604
113	460	3578
114	461	3551
115	462	3526
116	463	3498
117	464	3473
118	466	3451
119	467	3431
120	470	3418
121	471	3394
122	473	3378
123	475	3357
124	476	3336
125	478	3320
126	479	3297
127	481	3280
128	485	3278
129	487	3261
130	488	3243
131	490	3226
132	491	3207
133	493	3187
134	494	3170
135	496	3153
136	499	3146
137	501	3131
138	502	3114
139	504	3096
140	505	3078
141	506	3058
142	507	3040
143	508	3024
144	510	3010
145	513	3003
146	514	2987
147	515	2969
148	517	2953
149	518	2937
150	519	2921
151	521	2907
152	522	2891
153	523	2876
154	525	2863
155	527	2853
156	529	2842
157	530	2827
158	531	2812
159	532	2797
160	533	2781
161	535	2767
162	536	2756
163	538	2743
164	540	2733
165	543	2729
166	545	2719
167	547	2713
168	550	2706
169	553	2701
170	555	2691
171	557	2685
172	559	2674
173	560	2662
174	562	2652
175	564	2640
176	565	2629
177	566	2616
178	567	2605
179	569	2594
180	571	2588
181	573	2576
182	574	2564
183	575	2553
184	576	2541
185	578	2530
186	579	2518
187	580	2507
188	581	2496
189	583	2487
190	585	2480
191	587	2473
192	589	2463
193	590	2453
194	591	2442
195	592	2431
196	594	2421
197	595	2411
198	596	2401
199	598	2393
200	600	2388
201	603	2383
202	604	2372
203	605	2362
204	606	2352
205	608	2343
206	609	2335
207	611	2326
208	612	2319
209	615	2314
210	618	2311
211	619	2303
212	621	2296
213	622	2287
214	623	2278
215	625	2268
216	627	2263
217	629	2256
218	631	2251
219	632	2242
220	633	2233
221	634	2224
222	635	2215
223	637	2207
224	638	2198
225	639	2189
226	640	2181
227	642	2174
228	644	2170
229	646	2162
230	647	2155
231	648	2148
232	650	2140
233	651	2133
234	653	2125
235	654	2118
236	655	2111
237	657	2106
238	659	2101
239	661	2094
240	662	2086
241	663	2079
242	665	2072
243	666	2064
244	667	2056
245	668	2049
246	670	2043
247	672	2037
248	674	2033
249	675	2026
250	676	2019
251	677	2012
252	679	2005
253	680	1999
254	682	1993
255	683	1986
256	685	1980
257	687	1976
258	688	1970
259	689	1963
260	691	1957
261	692	1950
262	693	1944
263	695	1937
264	696	1931
265	697	1924
266	701	1926
267	703	1921
268	704	1914
269	705	1908
270	707	1904
271	709	1899
272	711	1893
273	712	1887
274	713	1881
275	715	1876
276	718	1875
277	719	1869
278	721	1863
279	722	1857
280	723	1852
281	725	1846
282	726	1840
283	727	1833
284	728	1828
285	730	1824
286	733	1822
287	735	1817
288	736	1811
289	737	1806
290	739	1800
291	740	1795
292	741	1789
293	742	1784
294	744	1779
295	747	1778
296	749	1773
297	750	1767
298	752	1763
299	753	1757
300	754	1752
301	755	1747
302	757	1741
303	758	1736
304	760	1732
305	762	1729
306	763	1724
307	764	1718
308	766	1713
309	767	1707
310	768	1702
311	769	1697
312	770	1691
313	771	1686
314	773	1682
315	775	1679
316	777	1675
317	778	1669
318	779	1664
319	781	1659
320	782	1654
321	783	1649
322	784	1644
323	785	1639
324	787	1635
325	788	1631
326	791	1628
327	792	1623
328	793	1618
329	794	1613
330	795	1608
331	797	1603
332	798	1598
333	799	1594
334	800	1589
335	802	1585
336	804	1582
337	806	1579
338	807	1575
339	808	1570
340	810	1565
341	811	1560
342	812	1556
343	813	1551
344	814	1546
345	816	1542
346	818	1539
347	819	1535
348	820	1531
349	821	1526
350	823	1521
351	824	1517
352	825	1512
353	826	1508
354	827	1504
355	829	1499
356	830	1496
